Category: All categories
TOP
Switzerland,100
Weather,47
2023,43
Zürich,40
Google,32
Google,32
Translation,32
German language,26
Geneva,23
Blick,23
Restaurant,22
.ch,22
Hotel,22
Bern,21
English Language,20
YouTube,20
Basel,18
Film,17
Child,17
Map,16
Meteorology,15
Recipe,14
Price,14
News,14

RISING
ChatGPT,Breakout
Lidl Stiftung & Co. KG,"+4,000%"
2024,"+2,350%"
2023,+400%
UBS,+250%
Artificial intelligence,+250%
EasyJet,+250%
Google,+200%
Sunrise,+200%
autoscout24.it,+190%
Online chat,+190%
digitec.ch,+180%
Amazon Hub Counter,+160%
Netflix,+150%
Meaning,+150%
Apple,+150%
Credit Suisse AG,+140%
Manor,+130%

